frame,state,mask_area,cx,cy,chamfer_px,closure_score
000509,static_on_table,6169,471.4,210.2,0.19,1.430
000510,static_on_table,6142,471.5,210.2,0.19,1.429
000511,static_on_table,6147,471.5,210.2,0.38,1.428
000512,static_on_table,6091,471.6,210.4,0.33,1.427
000513,static_on_table,6107,471.6,210.4,0.26,1.426
000514,static_on_table,6090,471.7,210.4,0.36,1.426
000515,static_on_table,6090,471.7,210.4,0.58,1.425
000516,static_on_table,6084,471.7,210.7,0.54,1.425
000517,static_on_table,6011,471.6,211.0,0.66,1.425
000518,static_on_table,6015,471.6,211.0,0.42,1.424
000519,static_on_table,5946,471.6,211.2,0.84,1.424
000520,static_on_table,5883,471.4,211.7,0.98,1.424
